title,price,availability,rating,url,price_numeric,rating_numeric,rating_clean
You can't bury them all: Poems,Â£33.63,In stock,Two,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,33.63,2,In stock
Slow States of Collapse: Poems,Â£57.31,In stock,Three,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,57.31,3,In stock
Reasons to Stay Alive,Â£26.41,In stock,Two,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,26.41,2,In stock
Private Paris (Private #10),Â£47.61,In stock,Five,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,47.61,5,In stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock,Five,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,5,In stock
Without Borders (Wanderlove #1),Â£45.07,In stock,Two,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,45.07,2,In stock
When We Collided,Â£31.77,In stock,One,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,31.77,1,In stock
"We Love You, Charlie Freeman",Â£50.27,In stock,Five,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,50.27,5,In stock
Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock,Four,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,14.27,4,In stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock,Four,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,4,In stock
Unicorn Tracks,Â£18.78,In stock,Three,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,18.78,3,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,One,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,1,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,One,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,1,In stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,Three,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,3,In stock
This One Summer,Â£19.49,In stock,Four,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,19.49,4,In stock
Thirst,Â£17.27,In stock,Five,http://books.toscrape.com/catalogue/thirst_946/index.html,17.27,5,In stock
The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,One,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,19.09,1,In stock
The Secret of Dreadwillow Carse,Â£56.13,In stock,One,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,56.13,1,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,One,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,1,In stock
The Past Never Ends,Â£56.50,In stock,Four,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,56.5,4,In stock
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,Three,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,3,In stock
